Κυνικός	doglike
adescant	second,person,singular,perfect,active,indicative
absolue	loosening
στείχοντι	masculine,neuter,genitive,dative,dual,ste
deplorabant	third,person,plural,future,active,indicative
africus	inflection,fricus,genitive,masculine,neuter,singular
conspirant	second,person,singular,present,active,imperative,nsp
eleves	weaken,lessen
methodus	methodical
continebis	second,person,singular,future,passive,indicative,contine
plumbo	pencil
χαλκοι	masculine,neuter,genitive,dative,dual,lko
addensabimus	first,person,plural,perfect,active,indicative,add
προσκυνῆσαι	proskynesis,prostration,act,obeisance
παρεόντες	masculine,accusative,plural
designes	first,person,singular,present,passive,subjunctive,sign
ferior	vacation
quadra	quarter,digit
annodes	first,person,singular,present,active,subjunctive,ann
commoveo	displacing
direxeris	first,person,plural,pluperfect,active,indicative,rig
debes	second,person,singular,present,active,imperative
pilus	pounder,pestle,cat
ranco	grudge,rancor
debeam	third,person,singular,present,active,subjunctive
dedices	second,person,singular,present,active,imperative,dic
depones	second,person,singular,present,active,imperative
anxiabaris	second,person,singular,future,passive,indicative,anxi
condivissemus	first,person,plural,perfect,active,indicative,condi
acervatis	heaped
donavisti	third,person,singular,perfect,active,indicative
conservor	female,fellow,slave
deliba	first,person,singular,perfect,active,indicative
φίλοιν	masculine,neuter,dative,plural,los
indigeo	needy,indigent
δηλούμενον	feminine,present,middle,passive,participle
puppa	ship
abdo	hide,conceal,keep,secret,cover,suppress,sheathe
ructus	oesophagus
amputarent	third,person,plural,pluperfect,active,subjunctive,amput
consectandus	follower,adherent
ματαιοτέρᾳ	masculine,vocative,singular,tai,teros
inserviens	deferred,served
comerem	second,person,singular,imperfect,active,subjunctive
scurrilis	buffoonery
articularis	second,person,singular,future,passive,indicative,articul
δυστυχία	inflection,genitive,singular
adversaturus	about,turn
discessus	first,person,plural,perfect,active,indicative,disc
delineaveris	first,person,plural,perfect,active,subjunctive
constent	third,person,singular,present,active,subjunctive,nst
copules	first,person,singular,present,passive,indicative,pul,connect
lix	water
pampinatus	tendril
durassent	second,person,singular,pluperfect,active,subjunctive
καταπολεμησάσαις	aorist,middle,infinitive,katapolem
dilaceratus	second,person,plural,present,active,imperative,lacer
amasius	concubine
harundineus	reed,bed
εὔξοος	well,scraped,planed,polished
abalienantor	third,person,plural,present,passive,indicative,abali
recurvatus	bending,backwards
coagulant	second,person,singular,perfect,active,indicative,gul
morus	inflection,rus
populus	plunder
evocares	second,person,singular,pluperfect,active,indicative,voc
sulcus	carve,cleave
caperem	first,person,singular,imperfect,passive,subjunctive,capi
cogitarem	first,person,plural,imperfect,active,subjunctive,git
inaurans	having,been,made,rich
creditus	second,person,plural,present,active,imperative
κατασταθείσας	masculine,accusative,plural,the
examino	second,person,singular,present,active,indicative,min,subjunctive
notus	enjoy
vapor	hypochondria
colasses	first,person,singular,pluperfect,active,subjunctive
derogaveris	first,person,plural,pluperfect,active,indicative,rog
boaremus	first,person,plural,imperfect,passive,subjunctive
cremate	second,person,plural,future,active,imperative,crem
νέκυϊ	masculine,feminine,neuter,dative,singular
admirabilitas	admirable,wonderful,worthy,admiration
πάσχουσα	feminine,nominative,vocative,singular,skh
martyrium	martyrdom
dividus	second,person,singular,present,active,imperative,vid
aggregabatis	second,person,singular,future,passive,indicative,aggreg
paraturus	prepared
suffrago	vote
anhelaris	first,person,singular,imperfect,active,subjunctive,anh
exercitus	exercise,practice
αυλη	flute,player,flautist
dedicent	third,person,singular,present,active,subjunctive,dic
baca	bake
ceraret	second,person,plural,imperfect,active,subjunctive
χαρίεσσαι	feminine,accusative,plural,eis
aspersi	sprinkling
adversor	hostile
hundteontigfeald	hundredth
benedicus	bless,praise,friendly,kindly
agerent	third,person,plural,imperfect,passive,subjunctive
decussatus	decussating
lar	ravenous,seabird
Australianise	alternative,form,australianise
anda	envy
create	bring,into,existence
benzoic	the,spicebush,lindera,benzoin
corniger	hind,female,deer
cella	swell
μεῖναι	aorist,active,participle
ξυνηθεστέρους	comparative,degree
appropinquabimus	first,person,plural,perfect,active,indicative,appropinqu
gescead	shed,scatter
devolve	rolling,down
μεγαλη	feminine,genitive,dative,dual
πετεινοῖς	masculine,nominative,vocative,plural,petein
crescent	third,person,singular,future,active,indicative
πασχουσι	masculine,neuter,dative,plural,skh
albus	first,person,singular,perfect,active,indicative,alb
diliguntor	third,person,plural,future,active,imperative,lig
verro	boar,male,swine
τεχνητός	masculine,accusative,plural,tekhn
areola	inflection,reola,nominative,vocative,plural
deplorent	third,person,plural,present,passive,subjunctive
λαλ	synonym
abnodabitis	third,person,singular,future,passive,indicative,abn
deploranto	third,person,plural,future,passive,imperative
abrades	second,person,singular,future,passive,indicative,abr,shave
last	footstep,track
win	gain
κρατοῦντες	masculine,neuter,dative,singular,krat
barris	clay,mud,elephant
δυναίμεθ'	first,person,plural,aorist,middle,optative
indicator	mentioned,having,been,hinted
iustifico	that,acts,justly
fox	intoxicate
συμπαν	masculine,neuter,genitive,plural
audeo	daring,venturing,risking
animalis	animality
accessor	supernumerary,and,generally,nonfunctional
diliget	second,person,plural,future,active,indicative,lig
quadruplex	set,four,particularly,tuplet,notes
agendum	which,done,made
blac	inflected,infinitive,cian
amicabitis	friendly,capable,being
Sicilisc	accusative,sicilia
cicer	chicken
γαλέα	galley,ship,propelled,primarily,oars
βαρέοιν	masculine,neuter,genitive,dative,dual
flaviceps	yellowing,becoming,yellow
Nigerien	person,from,nigeria,nigerian,descent
andwlita	look,upon
allatro	inflection,all,present,active,infinitive
aggressor	having,approached
νικῶντας	inflection,masculine,accusative,singular
durabilitas	durably
cu	abbreviation,cubitus
βοτηρ	masculine,feminine,neuter,dative,singular,bot
recreatus	restorer,reviver
basis	inferior
dota	second,person,singular,present,active,indicative
introduce	introducing
defendamur	first,person,plural,present,passive,indicative,fend
gield	payer
wohhæmende	adulterer
aspires	second,person,singular,present,active,indicative,asp
coagulum	second,person,singular,present,active,indicative,gul
fuga	flight,escape
colavisset	second,person,singular,pluperfect,active,subjunctive
στεγανή	masculine,vocative,singular,steg
παρεούσῃ	feminine,genitive,singular
palpus	flatterer
mal	mark,spot
alienat	third,person,singular,present,passive,indicative,ali
interstitium	difference,distinction
crispabis	first,person,plural,imperfect,active,indicative
refrigero	cooling
albaveras	second,person,singular,perfect,active,subjunctive,alb
inaugurans	installed,having,been
holocaustum	holocaust
dirigemini	second,person,plural,imperfect,passive,indicative,rig
bete	going
colaveram	first,person,singular,perfect,active,subjunctive
thracius	thracian
alienus	first,person,plural,present,active,indicative,ali,singular
corrigenda	correcting
prolato	appearing,etc
minor	subordinate,threats
conor	inflection,tus,accusative,masculine,singular,cone
amaret	second,person,plural,imperfect,active,subjunctive
abiudica	first,person,singular,present,passive,indicative,abi,dic
spondeus	guarantee
artes	joint
cuticula	inflection,cut,cula,nominative,vocative,plural
delebuntur	third,person,plural,future,active,indicative
expugnatus	conqueror
sæl	happiness
nobilitas	ennobling
commandes	chew
abalienaverant	third,person,plural,perfect,active,indicative,abali
condensabant	third,person,plural,future,active,indicative,cond
medius	ambiguous
perspicue	transparent,clear
compilantor	third,person,plural,future,active,imperative,comp
compiles	first,person,singular,present,passive,indicative,comp
εἰρημέναις	masculine,neuter,dative,plural,eir,nos
celavissent	third,person,singular,pluperfect,active,subjunctive
unitus	sameness,uniformity
mico	mica
crepitus	second,person,singular,present,active,imperative,crepit
aurum	ear
edice	declaring
duce	leading,guiding
δειλάς	feminine,nominative,vocative,plural,deil
στείχοντος	masculine,nominative,vocative,plural,ste
abdicatio	the,act,disowning,disinheriting,child
romanus	alternative,letter,case,form,nus
dicerentur	third,person,singular,imperfect,passive,subjunctive
νυμφαῖος	masculine,accusative,plural,mpha
cauponula	inn
editus	second,person,plural,present,active,imperative,third,singular
copulaveris	first,person,plural,pluperfect,active,indicative,pul
clamaveras	first,person,singular,pluperfect,active,indicative
annex	annexation
colantor	third,person,plural,future,active,imperative
ute	using,employing
dedicetis	second,person,singular,present,passive,subjunctive,dic
βραδεσι	masculine,neuter,dative,plural
deberis	second,person,singular,imperfect,active,subjunctive
dedicaberis	second,person,singular,present,passive,indicative,dic
drag	draw,drag
assimilabimus	first,person,plural,perfect,active,indicative,assimil
bellator	warlike,martial,pugnacious
computabit	third,person,singular,perfect,active,indicative,comput
πυκινούς	masculine,neuter,genitive,singular
census	second,person,singular,present,active,imperative,nse
audiendus	inflection,audiendus,accusative,masculine,singular
colabitis	third,person,singular,future,passive,indicative
εὐρείῃς	feminine,genitive,singular,eur
gestator	bearing,carrying,wearing
προϊόντος	masculine,nominative,vocative,plural,pro
promoveo	propelling,advancing
adornatus	second,person,plural,present,active,imperative
deprecor	second,person,singular,present,active,imperative,prec
τειχίσαι	aorist,middle,infinitive,teikh
annus	second,person,singular,present,active,imperative,ann
deauratis	gilded
chemotropic	kemotaktik
dedicem	first,person,singular,present,passive,subjunctive,dic
delectabatis	second,person,singular,future,passive,indicative,lect
ignescent	becoming,inflamed
crist	the,clitoris
calidus	inflection,calidus,genitive,masculine,neuter,singular
desitus	inflection,situs,genitive,masculine,neuter,singular
bima	two,year,old
acclamabimus	first,person,plural,perfect,active,indicative,accl
heofonisc	divine
delendus	inflection,lendus,accusative,masculine,singular
θαυμαστῇ	masculine,vocative,singular,thaum
γεγονότι	masculine,neuter,genitive,dative,dual,gegon
custodies	first,person,singular,future,active,indicative,cust
καθαρα	feminine,accusative,singular
declames	first,person,singular,present,passive,indicative
gesett	possess,occupy
loquaciter	talkativeness,loquacity
consocius	agree,with
crepitant	rattling
calefaciens	third,person,plural,future,active,indicative,calefaci
condonabimini	second,person,plural,present,passive,subjunctive,cond
cantandae	inflection,cantandus,accusative,masculine,singular
cacuminatus	pointing
emissarium	emissary,scout,spy
copio	plenty,fulness,multitude
admittendus	inflection,admittendus,accusative,masculine,singular
φαυλη	feminine,accusative,singular,pha,los
bibes	inflection,bib,present,active,infinitive
πυκινοι	masculine,neuter,genitive,dative,dual
credis	first,person,plural,present,active,subjunctive
vicia	twenty,times
condonabimus	first,person,plural,pluperfect,active,subjunctive,cond
ξένε	masculine,neuter,dative,singular,nos
abnegabatis	second,person,singular,future,passive,indicative,abneg
κληθέντας	masculine,neuter,genitive,plural,the
nutrition	nutrition
absolution	acquittal,absolving
nazarenus	nazareth
deles	nipple
albescent	whitening,becoming,white
preponderation	preponderating,manner
das	plural,father
plenum	full
accusaberis	first,person,singular,perfect,active,subjunctive,acc
adduces	persuade,move
perpendicular	perpendicular
torr	firebrand
θέλοντας	masculine,neuter,dative,singular
δήσαντες	masculine,accusative,plural
nihtwacu	nightwear
abalienabamus	first,person,plural,imperfect,active,subjunctive,abali
stragulum	covering
κεραῆς	feminine,dative,plural,ker
perturbatio	confuse
pella	parchment
μελαν	inflection,masculine,accusative,singular
area	withering
γεγονότας	masculine,neuter,genitive,singular,gegon
clament	third,person,plural,present,passive,subjunctive
cenaret	second,person,plural,imperfect,active,subjunctive
affliges	overthrow
evangelizatus	preaching,the,gospel
ταχεια	feminine,accusative,singular
aduna	unite,make,one
corrige	correcting
legitimus	confirm,law
admitte	letting
uncus	growl
assiduat	was,applied,constantly
abnodabatis	third,person,singular,imperfect,passive,indicative,abn
formidatus	dreading,fearing
colum	spinning,spun,thread
parallelus	parallelism
commissus	crime
tripudians	danced
adalligatus	attaching
ἀγεῖραι	aorist,active,participle,age
complanto	raze
quadratus	stonecutter
abalienatis	alienated,estranged,having,been
basiares	second,person,singular,present,passive,indicative
accresces	grow,increase
administrabimus	first,person,plural,perfect,active,indicative,administr,subjunctive
adheres	second,person,singular,present,active,imperative,adh
deliberatus	second,person,plural,present,active,imperative,ber
crispabamini	second,person,plural,imperfect,passive,subjunctive
elucubrabitis	second,person,plural,perfect,active,indicative,cubr
benedicant	third,person,singular,present,active,subjunctive,bened
dicaveras	second,person,singular,perfect,active,subjunctive,dic
amarer	second,person,singular,imperfect,passive,subjunctive
confortasti	second,person,singular,perfect,active,indicative
exaltes	first,person,singular,present,passive,subjunctive,exalt
abalienor	inflection,abali,present,active,infinitive
σοῖς	masculine,neuter,genitive,singular
constipa	second,person,singular,present,active,indicative,nst
titul	inscription
πηλίκην	feminine,genitive,singular,kos
αἰσχρέ	masculine,neuter,dative,singular,aiskhr
valetudinarius	hospital,sickbay
condensaverim	first,person,plural,perfect,active,subjunctive,cond
coniectat	connected
constiteris	first,person,plural,pluperfect,active,indicative,nst
πράων	masculine,neuter,genitive,plural
consequus	copy,imitate
τυχούσας	feminine,dative,plural
καυστικός	masculine,neuter,genitive,singular,kaust
adiudicatio	grant,award,something,someone,judge
himalayensis	himalayan
deaurabimus	first,person,plural,perfect,active,indicative,deaur
tabifico	melting,dissolving
transitio	hasten,quickly
demonstrandus	showing
regula	directing
muse	museum
πατρικοί	feminine,nominative,vocative,plural,patrik
πολεμικός	adverse
βδέλυγμα	nausea,sickness
θεραπείας	medical,treatment
λῆνος	coffin,sarcophagus
πολιτικῇ	concubine,mistress
κατοικικός	belonging,the,household
ξανθή	kind,pale,coloured,stone
περιγραφή	cancel,exclude
ἀδαμαντίνοις	adamantine,steel
ἠπειρώτης	female,mainland,dweller,mainlander
λυται	from,luta,place,thessaly
αἰτιωτέροις	comparative,degree
γαμήλιος	masculine,feminine,accusative,plural
γλυκεια	feminine,accusative,singular
δηλω	masculine,feminine,neuter,genitive,plural,los
δειξασα	feminine,nominative,vocative,plural
δεινοῖν	masculine,neuter,dative,plural,dein
δικαιοτάτας	feminine,genitive,singular,kai,tos
θέουσα	feminine,nominative,accusative,vocative,dual
θείσῃ	feminine,nominative,vocative,singular,the
θεισι	masculine,neuter,dative,plural,the
θνητάς	feminine,nominative,vocative,plural,thn
θρασυτάτοις	superlative,degree,thr
κακίοσιν	masculine,feminine,neuter,dative,plural
κακιστη	feminine,accusative,singular,stos
καλέοντας	masculine,neuter,genitive,singular
καλέσαντας	masculine,nominative,vocative,plural
καταλυτέαιν	feminine,dative,plural,katalut
κελευούσας	feminine,nominative,vocative,singular,kele
κινηθεισι	masculine,neuter,dative,plural,the
κυρίαν	inflection,genitive,singular
λαλιστάτας	superlative,degree,los
λυτρωσίμην	feminine,dative,singular,lutr,simos
μέλλουσιν	masculine,neuter,dative,plural
μένοντας	masculine,neuter,genitive,singular
μειζον	masculine,neuter,dative,singular
μυσαρα	feminine,accusative,singular
οὐράνιος	masculine,feminine,accusative,plural,our
πέμποντες	masculine,accusative,plural
πεζῇ	feminine,nominative,vocative,singular,pez
πελωριοι	masculine,neuter,genitive,singular,pel
περιοδικήν	feminine,dative,singular,per
πετειναί	feminine,dative,plural,petein
πλουσίᾳ	masculine,vocative,singular,plo
πολιτικάς	feminine,dative,plural,pol
πράξαντας	masculine,neuter,genitive,plural
σαφεσι	masculine,feminine,neuter,dative,plural
στᾶσαι	feminine,accusative,plural
σχόντι	inflection,skh,masculine,accusative,singular
σώσουσιν	third,person,plural,future,active,indicative
ταχέην	feminine,genitive,singular
τοιάδε	feminine,dative,singular,toi,sde
φαεινήν	feminine,genitive,singular,phaein
φίλτατος	masculine,neuter,dative,plural,tos
χαλκοκορυστῇ	harnessed,bronze,armored,epithet,ares
χρησται	feminine,genitive,dative,dual,khr
ἀάοισθον	third,person,dual,present,middle,optative
ἀγγελέειν	inflection,aorist,active,infinitive
αγχουσα	feminine,genitive,dative,dual,nkh
ἀεκόντοιϊν	masculine,neuter,genitive,dative,dual
sinens	chinese
anesum	relaxation
avuncular	great,uncle
bombis	peal
canonici	canon
competitus	plaintiff
confusi	trouble
cruciatus	crucifying
dicis	trial
er	hedgehog
fatus	fate
favus	support
formicula	ant
fraternus	brotherhood
frumentor	grain
indium	indium
iridium	iridium
labes	labarum,totter,wobble
liberal	freedom
lincturus	licked
minister	accomplice
pluma	embroidered
pontus	ferryboat
possessus	occupier
respecto	respected
seductus	seducer
singular	unprecedented
stud	study
tendor	tendon
vector	passenger
vicinia	neighborhood
vole	willing
antepones	prefer
appendicularis	small,appendage
apputes	compare
arbitres	judge
asta	tricks,stratagems
calculus	pebble,stone
calvor	hairless,bald
caucus	goblet,cup
cleptus	thief
cupis	handle,axle
exaspera	roughen
facio	beauty,loveliness
fag	beech,tree
maledicus	curse
masturbator	masturbate
mora	lingering,loitering
profano	impious,wicked
propinquo	kindred,related
rectum	guide,leader
ren	reindeer,skin
rubus	red,colour
scand	clamber
signum	statue
stuprum	defile
textus	weaver,male
trunco	lopped,docked
uliginosa	wet,damp
vexator	shaken,jolted
blandus	courteously
ferina	brutishly
germane	sincerely
novus	fashionably
perpetuo	forever,perpetually
sir	mermaid,sea,nymph
abactus	cattle,thief
abductor	withdrawn,having,been
abortus	bring,forth,prematurely
adhaereo	cleaving,sticking
agitati	female,equivalent,agit,tor
ambulatio	female,walker
amissum	lost,having,been
amove	withdraw,retire
aro	plough,till
captum	seek,aim
carinus	revile,blame
circumfluo	shine,around,bent,bend
confirmor	encourage,animate,embolden
conturbor	disturb,disquiet
costa	oriental,aromatic,plant
depressus	frequentative,prim
desidera	missing,lacking,needing
destines	intend,devote
dirigis	distribute,scatter
equus	archaic,form,equus
evacues	empty,out
fastidium	disdain,scorn
filo	texture,style,nature
frustratus	deceiver,delayer
infanticidium	child,murderer,infanticide
instructura	someone,who,arranges,something
irrumpo	inflection,irrump
loquacious	diminutive,loqu,talkative
mellifex	honey,bearing,producing,melliferous
obliquo	sidelong,slanting,awry,oblique
ord	command,captaincy,generalship
passerinus	little,sparrow
pulpus	stage,for,actors
quadriga	free,rein,course
salt	dance,jump
vici	wiki,collaborative,website
abalienabunt	third,person,plural,future,passive,indicative,abali
abdicaveram	third,person,plural,pluperfect,active,indicative,abdic
abdicaberis	second,person,singular,perfect,active,subjunctive,abdic
abdes	second,person,singular,present,active,indicative,abd
abiturus	inflection,abit,rus,genitive,masculine,neuter,singular
abiudicabatis	second,person,singular,future,passive,indicative,abi,dic
abiudicavistis	second,person,singular,perfect,active,indicative,abi,dic
abiugabis	second,person,singular,future,passive,indicative,abiug
abiurabitis	third,person,singular,future,active,indicative,abi
abiurabunt	third,person,plural,perfect,active,indicative,abi
abiuror	second,person,singular,present,active,subjunctive,abi
abiurgaveris	second,person,plural,pluperfect,active,indicative,abi
ablacto	inflection,ablact,present,active,infinitive
ablaqueabatis	second,person,singular,future,passive,indicative,ablaque
ablaqueaveramus	second,person,plural,perfect,active,subjunctive,ablaque
ablegaveris	first,person,singular,pluperfect,active,indicative,abl
abneges	refuse,deny,decline,unwilling
abnodabis	first,person,singular,imperfect,active,indicative,abn
abnodatus	third,person,singular,present,passive,indicative,abn
abnodaveris	first,person,singular,pluperfect,active,indicative,abn
abominor	second,person,singular,present,active,subjunctive,min
acclament	third,person,plural,present,passive,subjunctive,accl
accubitatus	the,act,reclining,table
accusaris	first,person,singular,imperfect,active,subjunctive,acc
accusabamus	first,person,plural,imperfect,active,subjunctive,acc
accusabit	third,person,singular,perfect,active,indicative,acc
accuses	first,person,singular,present,active,subjunctive,acc
acheronteus	neuter,nominative,singular,acheront
addensant	third,person,singular,present,active,indicative,add
addubito	inflection,addubit,present,active,infinitive
adnodo	inflection,adn,present,active,infinitive
adorabant	third,person,plural,imperfect,passive,indicative
adorabar	second,person,singular,imperfect,passive,indicative
adorabitis	third,person,singular,future,passive,indicative
adoraverat	third,person,plural,pluperfect,active,indicative
adoror	first,person,singular,perfect,active,indicative,second,present
adornetis	third,person,singular,present,passive,subjunctive
adulteraverunt	third,person,plural,pluperfect,active,indicative,adulter
adulteraberis	second,person,plural,perfect,active,subjunctive,adulter
afflatae	second,person,plural,future,active,imperative,affl
affricatus	second,person,plural,present,active,imperative,affric
ageretis	third,person,singular,imperfect,passive,subjunctive
aggravassent	third,person,plural,pluperfect,active,subjunctive,aggrav
agripeta	inflection,agripeta,genitive,dative,singular
alerem	first,person,plural,imperfect,active,subjunctive
algidus	inflection,algidus,genitive,masculine,neuter,singular
alienanto	third,person,plural,future,passive,imperative,ali
alienent	third,person,singular,present,active,subjunctive,ali
alterem	first,person,singular,present,passive,subjunctive,alter
amicarent	third,person,plural,imperfect,passive,subjunctive
amicatis	second,person,plural,present,active,imperative
amicus	first,person,singular,present,passive,indicative
amputabatis	second,person,singular,future,passive,indicative,amput
angarius	compulsory,service,lord,first,person,plural,present,active
angustiabatis	second,person,singular,future,passive,indicative,angusti
anhelabant	third,person,singular,imperfect,active,indicative,anh
anhelatus	one,who,breathes,with,difficulty
anhelaveris	second,person,plural,pluperfect,active,indicative,anh
anhelabitis	second,person,plural,perfect,active,indicative,anh
animus	inflection,animus,nominative,vocative,plural
annodabis	second,person,plural,imperfect,passive,indicative,ann,singular
annodate	second,person,plural,future,active,imperative,ann
anulus	inflection,nulus,genitive,singular
aperiendus	inflection,aperiendus,accusative,masculine,singular
apertus	inflection,apertus,nominative,vocative,feminine,plural
appellabimus	first,person,plural,pluperfect,active,subjunctive,appell
appropriare	inflection,appropi,present,active,infinitive
aravisset	second,person,plural,pluperfect,active,subjunctive
arcus	second,person,singular,present,active,indicative,arce
arduum	lofty,high,steep,tall,elevated
armus	second,person,singular,present,active,indicative,arm
arrogabam	first,person,singular,imperfect,passive,indicative,arrog
aspirabatis	second,person,singular,future,passive,indicative,asp
aspirabitis	second,person,plural,perfect,active,indicative,asp
assibila	second,person,plural,present,active,imperative,ass,bil
assignes	first,person,singular,present,passive,subjunctive,assign
astrangulabunt	third,person,plural,perfect,active,indicative,astrangul
baculum	diminutive,small,berry
baptises	second,person,singular,present,active,indicative,bapt
basiabat	third,person,singular,future,active,indicative
basiaveram	first,person,singular,perfect,active,subjunctive
bati	unknown,kind,fish
benedicit	third,person,singular,perfect,active,indicative,bened
beryllus	inflection,ryllus,nominative,vocative,plural
bibulus	inflection,bibulus,genitive,masculine,neuter,singular
bivius	inflection,bivius,accusative,masculine,singular
boaretis	third,person,singular,imperfect,passive,subjunctive
boeris	second,person,singular,present,passive,subjunctive
cala	third,person,plural,present,active,indicative,cal
calceabatis	second,person,singular,future,passive,indicative,calce
calciate	second,person,singular,perfect,active,indicative,calci
camera	second,person,singular,present,active,imperative,camer
cantillatus	second,person,plural,present,active,imperative,cantill
capis	first,person,plural,present,active,indicative,capi
captives	first,person,singular,present,passive,subjunctive,capt
castigabamini	second,person,plural,present,passive,subjunctive,cast
cauponulae	inflection,caup,genitive,dative,singular
cauterizo	brand,with,branding,iron
celarent	third,person,plural,imperfect,passive,subjunctive
celarer	second,person,singular,imperfect,passive,subjunctive
celavissem	second,person,singular,pluperfect,active,subjunctive
celebres	place,person,large,numbers,often
cenabat	third,person,singular,imperfect,passive,indicative
cenavissemus	first,person,plural,perfect,active,indicative
cerantor	third,person,plural,future,active,imperative
ceraris	second,person,singular,imperfect,active,subjunctive
circulatus	second,person,plural,present,active,imperative,circul
circumfluus	inflection,circumflu,present,active,infinitive
circumtergeo	twist,turn,around
circumtraho	inflection,circumtrah,present,active,infinitive
ciris	inflection,present,active,infinitive
clamor	second,person,singular,present,active,imperative,first,plural
clues	second,person,singular,present,active,imperative,clue
cogites	first,person,singular,perfect,active,indicative,git
cogitabit	third,person,singular,perfect,active,indicative,git
cogitemus	first,person,plural,present,passive,subjunctive,git
colabis	first,person,plural,imperfect,active,indicative,future
colarer	second,person,singular,imperfect,passive,subjunctive
colarent	third,person,singular,imperfect,active,subjunctive
committatis	second,person,plural,imperfect,active,indicative,committ
commutabis	first,person,plural,future,active,indicative,comm
commutant	third,person,singular,present,active,subjunctive,comm
compilabis	first,person,singular,imperfect,active,indicative,comp
compilatus	third,person,singular,present,passive,indicative,comp
compilavistis	second,person,singular,perfect,active,indicative,comp
compilent	third,person,plural,present,passive,subjunctive,comp
comportare	second,person,plural,present,active,imperative,comport
concurso	second,person,singular,present,active,imperative,concurs
condemnaberis	second,person,plural,perfect,active,subjunctive,condemn
condisco	second,person,singular,present,active,imperative,condisc
condiveram	first,person,singular,perfect,active,subjunctive,condi
condones	first,person,singular,present,passive,indicative,cond
confident	third,person,plural,present,active,subjunctive
confitebor	second,person,singular,future,active,indicative,nfiteor
confiteamur	first,person,plural,present,active,indicative,nfiteor
conformis	second,person,singular,present,active,indicative
conservaberis	second,person,plural,perfect,active,subjunctive,nserv
consociatus	second,person,plural,present,active,imperative,nsoci
constatus	second,person,plural,present,active,indicative,nst
constate	second,person,plural,future,active,imperative,nst
consta	second,person,singular,present,active,subjunctive,nst
consultaberis	second,person,plural,perfect,active,subjunctive,nsult
continebitis	second,person,plural,perfect,active,subjunctive,contine
contristo	inflection,contr,present,active,infinitive
coortus	inflection,coortus,genitive,masculine,neuter,singular
copulatus	third,person,singular,present,passive,indicative,pul
coronaret	second,person,plural,imperfect,active,subjunctive,cor
coronabit	third,person,singular,perfect,active,indicative,cor
corrumpo	second,person,singular,future,passive,indicative,corrump
corvus	inflection,corvus,genitive,singular
cossus	inflection,cossus,nominative,vocative,plural
credebar	second,person,singular,imperfect,passive,indicative
credes	third,person,singular,future,active,indicative
crescat	third,person,plural,present,active,subjunctive
crispet	third,person,plural,present,active,subjunctive
crispetur	third,person,plural,present,passive,subjunctive
crudus	inflection,dus,nominative,vocative,masculine,plural
curatus	second,person,plural,present,active,imperative
debebo	second,person,singular,future,active,indicative,first,passive
debuerant	third,person,singular,pluperfect,active,indicative
declamabatis	second,person,plural,imperfect,active,subjunctive
declares	second,person,singular,present,active,indicative
dedicaret	second,person,plural,imperfect,active,subjunctive,dic
dedicatus	third,person,singular,present,passive,indicative,dic
defensum	driven,away,having,been
defloro	second,person,singular,present,active,indicative
deformo	second,person,singular,present,active,imperative
deit	divinity,deity,the,nature,god
delegabor	second,person,singular,future,active,indicative
deleges	first,person,plural,present,active,indicative,singular,perfect
delegaremus	first,person,plural,imperfect,passive,subjunctive
delentor	third,person,plural,present,passive,indicative
deleveris	second,person,plural,pluperfect,active,indicative,first,perfect
delineate	second,person,plural,future,active,imperative
delineant	third,person,plural,present,active,subjunctive
denigres	blacken,cause,become,black
densabis	second,person,plural,imperfect,passive,indicative
densabamus	first,person,plural,imperfect,passive,indicative
denudate	second,person,singular,perfect,active,indicative
deplorabatis	second,person,plural,imperfect,active,subjunctive
deplorant	second,person,singular,perfect,active,indicative
derogaberis	first,person,singular,perfect,active,subjunctive,rog
destinatum	bound,having,been,fastened
deteget	third,person,plural,future,active,indicative,teg
devius	inflection,present,active,infinitive
dicare	third,person,plural,imperfect,active,subjunctive,dic
dilexeris	first,person,singular,pluperfect,active,indicative,lig
diligitis	second,person,plural,present,active,imperative,lig
diluere	second,person,singular,pluperfect,active,indicative
discedis	third,person,plural,imperfect,active,indicative,disc
discedebam	third,person,singular,imperfect,active,indicative,disc
discedatis	second,person,plural,imperfect,active,indicative,disc
discordatus	second,person,plural,present,active,imperative,discord
disputant	third,person,plural,pluperfect,active,subjunctive,disput
distraho	second,person,singular,future,passive,indicative,distrah
ditasses	first,person,singular,pluperfect,active,subjunctive
divaricatus	second,person,plural,present,active,imperative,ric
diverto	first,person,singular,perfect,active,indicative,vert
divinus	inflection,present,active,infinitive
divulgare	first,person,singular,present,passive,subjunctive,vulg
docendum	which,taught,instructed
donabunt	third,person,plural,future,passive,indicative
donarem	first,person,singular,imperfect,passive,subjunctive
donavisset	third,person,plural,pluperfect,active,subjunctive
doricus	inflection,ricus,genitive,masculine,neuter,singular
educes	second,person,singular,present,active,imperative,duc
efficias	second,person,singular,present,active,indicative,effici
elaboratus	second,person,plural,present,active,imperative,lab
eludes	second,person,singular,future,passive,indicative
emargina	deprive,something,its,edge
emendabatis	second,person,singular,future,passive,indicative,mend
emuto	inflection,present,active,infinitive
eructes	inflection,present,active,infinitive
evacuatus	second,person,plural,present,active,imperative,vacu
evapores	inflection,vap,present,active,infinitive
evinces	second,person,singular,future,passive,indicative,vinc
meter	painter
ungeendodlic	indefinite
los	die
wæpn	arm
þan	thence
gegang	exercise,effect,accomplish
